Oznaka pruge;Smjer;Polazna stanica;Odredišna stanica;Oznaka vlaka;Vrsta vlaka;Vrijeme polaska;Trajanje vožnje;Oznaka dana
M102;O;;;8063;;17:59;0:31;
M102;O;;;1951;U;18:13;0:24;19
M102;O;;;B 777;B;18:23;0:18;3
M102;O;;;8067;;18:28;0:30;1
M102;O;;;973;U;18:40;0:22;
M102;O;;;2023;;18:56;0:31;
M102;O;;;8071;;19:21;0:31;3
M102;O;;;989;U;19:33;0:26;
M102;O;;;8075;;19:52;0:31;
M102;O;;;2107;;20:06;0:31;3
M102;O;;;2213;;20:18;0:31;
M102;O;;;8077;;20:42;0:31;
M102;O;;;2109;;21:05;0:33;
M102;O;;;8081;;21:20;0:30;1
M102;O;;;B 747;B;21:33;0:21;21
M102;O;;;8083;;21:43;0:30;3
M102;O;;;2303;;22:46;0:33;
M102;O;;;8087;;23:15;0:31;1
;;;;;;;;
L202;N;;;3210;;5:10;0:21;4
L202;N;;;3212;;6:10;0:21;3
L202;N;;;3214;;7:46;0:21;3
L202;N;;;3216;;8:47;0:21;4
L202;N;;;3218;;10:51;0:21;4
L202;N;;;3220;;12:42;0:21;4
L202;N;;;3222;;14:21;0:21;3
L202;N;;;3224;;15:31;0:21;
L202;N;;;3226;;16:39;0:21;9
L202;N;;;3228;;17:51;0:21;
L202;N;;;3230;;19:28;0:21;4
L202;N;;;3232;;21:10;0:21;4
;;;;;;;;
L202;O;;;3211;;4:19;0:21;3
L202;O;;;3213;;5:41;0:21;4
L202;O;;;3215;;6:37;0:21;3
L202;O;;;3217;;8:17;0:21;3
L202;O;;;3219;;10:22;0:21;4
L202;O;;;3221;;12:05;0:21;4
L202;O;;;3223;;13:49;0:21;3
L202;O;;;3225;;15:01;0:21;4
L202;O;;;3227;;16:08;0:21;
L202;O;;;3229;;17:12;0:21;9
L202;O;;;3231;;18:53;0:21;
L202;O;;;3233;;20:43;0:21;4
L202;O;;;3235;;21:37;0:21;4
